opcode 1984, rd 3, rt 3, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 3100, braddr 99203
opcode 37, rd 9, rt 9, rn 29, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -3, braddr -87
opcode 1112, rd 4, rt 4, rn 0, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63488, braddr -14745596
opcode 1986, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195200
opcode 1986, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227969
opcode 1986, rd 2, rt 2, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 133148, braddr 4260738
opcode 1986, rd 3, rt 3, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 134172, braddr 4293507
opcode 1624, rd 10, rt 10, rn 4, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 4100, braddr -16646006
opcode 180, rd 10, rt 10, rn 16, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -16, braddr 16776714
opcode 1984, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 28, braddr 896
opcode 1984, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 33665
opcode 1984, rd 2, rt 2, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2076, braddr 66434
opcode 1984, rd 3, rt 3, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 3100, braddr 99203
opcode 1984, rd 4, rt 4, rn 28, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 4124, braddr 131972
opcode 1112, rd 1, rt 1, rn 4, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63492, braddr -14745471
opcode 1112, rd 2, rt 2, rn 3, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63491, braddr -14745502
opcode 37, rd 11, rt 11, rn 29, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -3, braddr -85
opcode 1112, rd 4, rt 4, rn 3, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63491, braddr -14745500
opcode 1986, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195200
opcode 1986, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227969
opcode 1986, rd 2, rt 2, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 133148, braddr 4260738
opcode 1986, rd 3, rt 3, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 134172, braddr 4293507
opcode 1691, rd 12, rt 12, rn 4, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196708, braddr -10482548
opcode 1112, rd 12, rt 12, rn 0, rm 12, shamt 0, aluimm 768, dtaddr 192, condaddr 24576, braddr -15990772
opcode 1112, rd 11, rt 11, rn 3, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63491, braddr -14745493
opcode 1986, rd 3, rt 3, rn 12, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131084, braddr 4194691
opcode 1984, rd 11, rt 11, rn 12, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 12, braddr 395
opcode 1984, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 28, braddr 896
opcode 1984, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 33665
opcode 1984, rd 2, rt 2, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2076, braddr 66434
opcode 1984, rd 3, rt 3, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 3100, braddr 99203
opcode 1984, rd 4, rt 4, rn 28, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 4124, braddr 131972
opcode 1112, rd 11, rt 11, rn 3, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63491, braddr -14745493
opcode 1112, rd 3, rt 3, rn 4, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63492, braddr -14745469
opcode 1112, rd 4, rt 4, rn 11, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63499, braddr -14745244
opcode 37, rd 3, rt 3, rn 29, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -3, braddr -93
opcode 1986, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195200
opcode 1986, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227969
opcode 1986, rd 2, rt 2, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 133148, braddr 4260738
opcode 1986, rd 3, rt 3, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 134172, braddr 4293507
opcode 1986, rd 4, rt 4, rn 28, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 135196, braddr 4326276
opcode 5, rd 15, rt 15, rn 30, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -2, braddr -49
opcode 1986, rd 30, rt 30, rn 28, rm 2, shamt 32, aluimm 160, dtaddr 40, condaddr 136220, braddr 4359070
